System,C11,C22,C33,C12,C13,C23,C44,C55,C66,C66
MgO,95,95,95,156,156,156,297,297,297,297
CaO,59,59,59,81,81,81,223,223,223,223
Garnet,80,80,80,88,88,88,281,281,281,281
Ringwoodite,112,112,112,126,126,126,327,327,327,327
Ca-pervskite,167,167,167,225,225,225,374,374,374,374
Zircon,175,175,214,74,74,116,256,256,372,256
Cassiterite,177,177,156,103,103,207,262,262,450,262
TiO2,177,177,146,124,124,192,269,269,480,269
GeO,188,188,187,162,162,258,337,337,599,337
Stishovite,211,211,203,252,252,302,453,453,776,453
Enstatite,72,54,53,78,76,82,225,178,214,225
Fayalite,92,92,55,32,47,57,266,168,232,266
Forsterite ,64,69,74,65,81,81,328,200,235,328
Wadsleyite ,66,95,105,111,123,103,371,373,272,371
Mg-perovskite,144,147,146,204,186,147,482,537,485,482
Quartz,16,33,33,36,50,50,117,110,110,117
Wurtzite,48,42,42,29,37,37,122,138,138,122
Dolomite,71,57,57,40,74,74,205,113,113,205
Mg-ilmenite,168,70,70,106,152,152,472,382,382,472
Corundum,163,130,130,147,171,171,498,501,501,498
