make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
alfa-romero,1,1,2,1,2,2,88.6,168.8,64.1,48.8,2548,1,4,130,5,3.47,2.68,9,111,5000,21,27,13495
alfa-romero,1,1,2,1,2,2,88.6,168.8,64.1,48.8,2548,1,4,130,5,3.47,2.68,9,111,5000,21,27,16500
alfa-romero,1,1,2,2,2,2,94.5,171.2,65.5,52.4,2823,5,3,152,5,2.68,3.47,9,154,5000,19,26,16500
audi,1,1,4,3,1,2,99.8,176.6,66.2,54.3,2337,3,4,109,5,3.19,3.4,10,102,5500,24,30,13950
audi,1,1,4,3,1,2,99.4,176.6,66.4,54.3,2824,3,5,136,5,3.19,3.4,8,115,5500,18,22,17450
audi,1,1,2,3,1,2,99.8,177.3,66.3,53.1,2507,3,5,136,5,3.19,3.4,8.5,110,5500,19,25,15250
audi,1,1,4,3,1,2,105.8,192.7,71.4,55.7,2844,3,5,136,5,3.19,3.4,8.5,110,5500,19,25,17710
audi,1,1,4,4,1,2,105.8,192.7,71.4,55.7,2954,3,5,136,5,3.19,3.4,8.5,110,5500,19,25,18920
audi,1,2,4,3,1,2,105.8,192.7,71.4,55.9,3086,3,5,131,5,3.13,3.4,8.3,140,5500,17,20,23875
bmw,1,1,2,3,2,2,101.2,176.8,64.8,54.3,2395,3,4,108,5,3.5,2.8,8.8,101,5800,23,29,16430
bmw,1,1,4,3,2,2,101.2,176.8,64.8,54.3,2395,3,4,108,5,3.5,2.8,8.8,101,5800,23,29,16925
bmw,1,1,2,3,2,2,101.2,176.8,64.8,54.3,2710,3,6,164,5,3.31,3.19,9,121,4250,21,28,20970
bmw,1,1,4,3,2,2,101.2,176.8,64.8,54.3,2765,3,6,164,5,3.31,3.19,9,121,4250,21,28,21105
bmw,1,1,4,3,2,2,103.5,189,66.9,55.7,3055,3,6,164,5,3.31,3.19,9,121,4250,20,25,24565
bmw,1,1,4,3,2,2,103.5,189,66.9,55.7,3230,3,6,209,5,3.62,3.39,8,182,5400,16,22,30760
