make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
alfa-romero,0,0,2,0,1,0,88.6,168.8,64.1,48.8,2548,0,1,130,4,3.47,2.68,9,111,5000,21,27,13495
alfa-romero,0,0,2,0,1,0,88.6,168.8,64.1,48.8,2548,0,1,130,4,3.47,2.68,9,111,5000,21,27,16500
alfa-romero,0,0,2,2,1,0,94.5,171.2,65.5,52.4,2823,4,3,152,4,2.68,3.47,9,154,5000,19,26,16500
audi,0,0,4,3,0,0,99.8,176.6,66.2,54.3,2337,2,1,109,4,3.19,3.4,10,102,5500,24,30,13950
audi,0,0,4,3,0,0,99.4,176.6,66.4,54.3,2824,2,2,136,4,3.19,3.4,8,115,5500,18,22,17450
audi,0,0,2,3,0,0,99.8,177.3,66.3,53.1,2507,2,2,136,4,3.19,3.4,8.5,110,5500,19,25,15250
audi,0,0,4,3,0,0,105.8,192.7,71.4,55.7,2844,2,2,136,4,3.19,3.4,8.5,110,5500,19,25,17710
audi,0,0,4,4,0,0,105.8,192.7,71.4,55.7,2954,2,2,136,4,3.19,3.4,8.5,110,5500,19,25,18920
audi,0,1,4,3,0,0,105.8,192.7,71.4,55.9,3086,2,2,131,4,3.13,3.4,8.3,140,5500,17,20,23875
bmw,0,0,2,3,1,0,101.2,176.8,64.8,54.3,2395,2,1,108,4,3.5,2.8,8.8,101,5800,23,29,16430
bmw,0,0,4,3,1,0,101.2,176.8,64.8,54.3,2395,2,1,108,4,3.5,2.8,8.8,101,5800,23,29,16925
bmw,0,0,2,3,1,0,101.2,176.8,64.8,54.3,2710,2,3,164,4,3.31,3.19,9,121,4250,21,28,20970
bmw,0,0,4,3,1,0,101.2,176.8,64.8,54.3,2765,2,3,164,4,3.31,3.19,9,121,4250,21,28,21105
bmw,0,0,4,3,1,0,103.5,189,66.9,55.7,3055,2,3,164,4,3.31,3.19,9,121,4250,20,25,24565
bmw,0,0,4,3,1,0,103.5,189,66.9,55.7,3230,2,3,209,4,3.62,3.39,8,182,5400,16,22,30760
bmw,0,0,2,3,1,0,103.5,193.8,67.9,53.7,3380,2,3,209,4,3.62,3.39,8,182,5400,16,22,41315
bmw,0,0,4,3,1,0,110,197,70.9,56.3,3505,2,3,209,4,3.62,3.39,8,182,5400,15,20,36880
chevrolet,0,0,2,2,0,0,88.4,141.1,60.3,53.2,1488,1,0,61,1,2.91,3.03,9.5,48,5100,47,53,5151
chevrolet,0,0,2,2,0,0,94.5,155.9,63.6,52,1874,2,1,90,1,3.03,3.11,9.6,70,5400,38,43,6295
chevrolet,0,0,4,3,0,0,94.5,158.8,63.6,52,1909,2,1,90,1,3.03,3.11,9.6,70,5400,38,43,6575
dodge,0,0,2,2,0,0,93.7,157.3,63.8,50.8,1876,2,1,90,1,2.97,3.23,9.41,68,5500,37,41,5572
dodge,0,0,2,2,0,0,93.7,157.3,63.8,50.8,1876,2,1,90,1,2.97,3.23,9.4,68,5500,31,38,6377
dodge,0,1,2,2,0,0,93.7,157.3,63.8,50.8,2128,2,1,98,4,3.03,3.39,7.6,102,5500,24,30,7957
dodge,0,0,4,2,0,0,93.7,157.3,63.8,50.6,1967,2,1,90,1,2.97,3.23,9.4,68,5500,31,38,6229
dodge,0,0,4,3,0,0,93.7,157.3,63.8,50.6,1989,2,1,90,1,2.97,3.23,9.4,68,5500,31,38,6692
dodge,0,0,4,3,0,0,93.7,157.3,63.8,50.6,1989,2,1,90,1,2.97,3.23,9.4,68,5500,31,38,7609
dodge,0,1,4,3,0,0,93.7,157.3,63.8,50.6,2191,2,1,98,4,3.03,3.39,7.6,102,5500,24,30,8558
dodge,0,0,4,4,0,0,103.3,174.6,64.6,59.8,2535,2,1,122,1,3.34,3.46,8.5,88,5000,24,30,8921
dodge,0,1,2,2,0,0,95.9,173.2,66.3,50.2,2811,2,1,156,3,3.6,3.9,7,145,5000,19,24,12964
honda,0,0,2,2,0,0,86.6,144.6,63.9,50.8,1713,2,1,92,0,2.91,3.41,9.6,58,4800,49,54,6479
