name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year,Filler
AMC Ambassador Brougham,0.278969957,1,0.791208791,0.760869565,0.743385214,0.443548387,0.890243902,0.278969957
AMC Ambassador DPL,0.321888412,1,0.857142857,0.826086957,0.749027237,0.342741935,0.853658537,0.321888412
AMC Ambassador SST,0.364806867,1,0.668131868,0.652173913,0.714396887,0.463709677,0.87804878,0.364806867
AMC Concord DL 6,0.433476395,0.75,0.50989011,0.391304348,0.635214008,0.733870968,0.963414634,0.433476395
AMC Concord DL,0.388412017,0.75,0.567032967,0.52173913,0.663424125,0.608870968,0.951219512,0.388412017
AMC Concord DL,0.493562232,0.5,0.331868132,0.15,0.590466926,0.826612903,1,0.493562232
AMC Concord,0.416309013,0.75,0.50989011,0.391304348,0.624513619,0.693548387,0.951219512,0.416309013
AMC Concord,0.521459227,0.5,0.331868132,0.391304348,0.584241245,0.810483871,0.975609756,0.521459227
AMC Gremlin,0.386266094,0.75,0.50989011,0.434782609,0.542607004,0.60483871,0.890243902,0.386266094
AMC Gremlin,0.407725322,0.75,0.50989011,0.434782609,0.512451362,0.524193548,0.865853659,0.407725322
AMC Gremlin,0.429184549,0.75,0.50989011,0.434782609,0.56692607,0.64516129,0.914634146,0.429184549
AMC Gremlin,0.450643777,0.75,0.437362637,0.391304348,0.515175097,0.60483871,0.853658537,0.450643777
AMC Hornet Sportabout (Wagon),0.386266094,0.75,0.567032967,0.47826087,0.576264591,0.544354839,0.865853659,0.386266094
AMC Hornet,0.386266094,0.75,0.437362637,0.42173913,0.539688716,0.625,0.853658537,0.386266094
AMC Hornet,0.386266094,0.75,0.50989011,0.434782609,0.572957198,0.64516129,0.890243902,0.386266094
AMC Hornet,0.407725322,0.75,0.50989011,0.434782609,0.564396887,0.64516129,0.902439024,0.407725322
AMC Hornet,0.482832618,0.75,0.50989011,0.391304348,0.600194553,0.709677419,0.926829268,0.482832618
AMC Matador (Wagon),0.300429185,1,0.668131868,0.652173913,0.828210117,0.625,0.902439024,0.300429185
AMC Matador (Wagon),0.321888412,1,0.668131868,0.652173913,0.757198444,0.504032258,0.87804878,0.321888412
AMC Matador,0.300429185,1,0.668131868,0.652173913,0.714396887,0.463709677,0.890243902,0.300429185
AMC Matador,0.321888412,0.75,0.567032967,0.47826087,0.725680934,0.766129032,0.914634146,0.321888412
AMC Matador,0.332618026,1,0.668131868,0.52173913,0.770817121,0.560483871,0.926829268,0.332618026
AMC Matador,0.343347639,0.75,0.567032967,0.47826087,0.706614786,0.725806452,0.902439024,0.343347639
AMC Matador,0.386266094,0.75,0.50989011,0.434782609,0.639688716,0.625,0.865853659,0.386266094
AMC Pacer D/L,0.375536481,0.75,0.567032967,0.413043478,0.621206226,0.717741935,0.926829268,0.375536481
AMC Pacer,0.407725322,0.75,0.50989011,0.391304348,0.624708171,0.685483871,0.914634146,0.407725322
AMC Rebel SST (Wagon),0.15,1,0.791208791,0.760869565,0.749027237,0.443548387,0.853658537,0.15
AMC Rebel SST,0.343347639,1,0.668131868,0.652173913,0.667898833,0.483870968,0.853658537,0.343347639
AMC Spirit DL,0.587982833,0.5,0.265934066,0.347826087,0.519455253,0.60483871,0.963414634,0.587982833
Audi 100 LS,0.429184549,0.5,0.250549451,0.395652174,0.50233463,0.564516129,0.890243902,0.429184549
Audi 100 LS,0.493562232,0.5,0.252747253,0.413043478,0.524124514,0.60483871,0.914634146,0.493562232
Audi 100 LS,0.515021459,0.5,0.235164835,0.391304348,0.472762646,0.584677419,0.853658537,0.515021459
Audi 4000,0.736051502,0.5,0.213186813,0.339130435,0.425680934,0.637096774,0.975609756,0.736051502
Audi 5000,0.435622318,0.625,0.287912088,0.447826087,0.550583658,0.641129032,0.951219512,0.435622318
Audi 5000S (Diesel),0.78111588,0.625,0.265934066,0.291304348,0.573929961,0.802419355,0.975609756,0.78111588
Audi Fox,0.622317597,0.5,0.215384615,0.360869565,0.431712062,0.665322581,0.902439024,0.622317597
BMW 2002,0.557939914,0.5,0.265934066,0.491304348,0.43463035,0.504032258,0.853658537,0.557939914
BMW 320i,0.461373391,0.5,0.265934066,0.47826087,0.505836576,0.516129032,0.93902439,0.461373391
Buick Century 350,0.278969957,1,0.769230769,0.760869565,0.79766537,0.524193548,0.890243902,0.278969957
Buick Century Limited,0.536480687,0.75,0.397802198,0.47826087,0.572957198,0.661290323,1,0.536480687
Buick Century Luxus (Wagon),0.278969957,1,0.769230769,0.652173913,0.914202335,0.584677419,0.902439024,0.278969957
Buick Century Special,0.442060086,0.75,0.507692308,0.456521739,0.657587549,0.637096774,0.951219512,0.442060086
Buick Century,0.364806867,0.75,0.507692308,0.47826087,0.760116732,0.846774194,0.914634146,0.364806867
Buick Century,0.480686695,0.75,0.507692308,0.47826087,0.664396887,0.637096774,0.987804878,0.480686695
Buick Electra 225 Custom,0.25751073,1,1,0.97826087,0.963229572,0.443548387,0.890243902,0.25751073
Buick Estate Wagon (Wagon),0.300429185,1,1,0.97826087,0.600389105,0.403225806,0.853658537,0.300429185
Buick Estate Wagon (Wagon),0.362660944,1,0.769230769,0.673913043,0.848249027,0.600806452,0.963414634,0.362660944
Buick Lesabre Custom,0.278969957,1,0.769230769,0.673913043,0.875875486,0.544354839,0.87804878,0.278969957
Buick Opel Isuzu Deluxe,0.643776824,0.5,0.243956044,0.347826087,0.4192607,0.596774194,0.93902439,0.643776824
Buick Regal Sport Coupe (Turbo),0.379828326,0.75,0.507692308,0.717391304,0.670233463,0.540322581,0.951219512,0.379828326
Buick Skyhawk,0.450643777,0.75,0.507692308,0.47826087,0.591245136,0.60483871,0.914634146,0.450643777
Buick Skylark 320,0.321888412,1,0.769230769,0.717391304,0.71848249,0.463709677,0.853658537,0.321888412
Buick Skylark Limited,0.60944206,0.5,0.331868132,0.391304348,0.519455253,0.64516129,0.963414634,0.60944206
Buick Skylark,0.439914163,0.75,0.507692308,0.456521739,0.666342412,0.681451613,0.93902439,0.439914163
Buick Skylark,0.570815451,0.5,0.331868132,0.365217391,0.512645914,0.661290323,0.987804878,0.570815451
Cadillac Eldorado,0.493562232,1,0.769230769,0.543478261,0.758754864,0.701612903,0.963414634,0.493562232
Cadillac Seville,0.354077253,1,0.769230769,0.782608696,0.852140078,0.487903226,0.926829268,0.354077253
Chevroelt Chevelle Malibu,0.343347639,0.75,0.549450549,0.456521739,0.758171206,0.745967742,0.914634146,0.343347639
Chevrolet Bel Air,0.321888412,1,0.769230769,0.630434783,0.86381323,0.564516129,0.914634146,0.321888412
Chevrolet Camaro,0.579399142,0.5,0.331868132,0.391304348,0.573929961,0.697580645,1,0.579399142
Chevrolet Caprice Classic,0.278969957,1,0.879120879,0.652173913,0.86848249,0.483870968,0.890243902,0.278969957
Chevrolet Caprice Classic,0.364806867,1,0.67032967,0.565217391,0.747081712,0.620967742,0.963414634,0.364806867
Chevrolet Caprice Classic,0.375536481,1,0.67032967,0.630434783,0.754863813,0.504032258,0.93902439,0.375536481
Chevrolet Cavalier 2-Door,0.729613734,0.5,0.246153846,0.382608696,0.465953307,0.725806452,1,0.729613734
Chevrolet Cavalier Wagon,0.579399142,0.5,0.246153846,0.382608696,0.513618677,0.75,1,0.579399142
Chevrolet Cavalier,0.600858369,0.5,0.246153846,0.382608696,0.506809339,0.790322581,1,0.600858369
Chevrolet Chevelle Concours (Wagon),0.15,1,0.769230769,0.717391304,0.805836576,0.463709677,0.853658537,0.15
Chevrolet Chevelle Concours (Wagon),0.278969957,1,0.674725275,0.565217391,0.797276265,0.564516129,0.87804878,0.278969957
Chevrolet Chevelle Malibu Classic,0.343347639,0.75,0.549450549,0.434782609,0.735603113,0.685483871,0.902439024,0.343347639
Chevrolet Chevelle Malibu Classic,0.375536481,1,0.67032967,0.608695652,0.820038911,0.524193548,0.926829268,0.375536481
Chevrolet Chevelle Malibu,0.364806867,0.75,0.549450549,0.434782609,0.64766537,0.625,0.865853659,0.364806867
Chevrolet Chevelle Malibu,0.386266094,1,0.674725275,0.565217391,0.681712062,0.483870968,0.853658537,0.386266094
Chevrolet Chevette,0.622317597,0.5,0.186813187,0.226086957,0.395914397,0.89516129,0.926829268,0.622317597
Chevrolet Chevette,0.643776824,0.5,0.215384615,0.295652174,0.4192607,0.665322581,0.951219512,0.643776824
Chevrolet Chevette,0.654506438,0.5,0.215384615,0.273913043,0.399027237,0.685483871,0.93902439,0.654506438
Chevrolet Chevette,0.688841202,0.5,0.215384615,0.304347826,0.412451362,0.625,0.975609756,0.688841202
Chevrolet Citation,0.504291845,0.75,0.38021978,0.47826087,0.530155642,0.508064516,0.987804878,0.504291845
